Simplified;English Translation;Pinyin;Meaning
产品;product;chǎnpǐn;baby, brand, output, product, produce, end product, merchandise, fruitage, growth, manufacture, wares, production
条;strip;tiáo;bar, item, short note, a long narrow piece, streak, clause, stripe, sth. long and narrow, filet, m.[general], , article, strip, assize, twig, ingot, slip tiáo
将;will;jiāng;be about to jiāng
在于;in;zàiyū;be at, on, lie, in, depend on, lie_in, rest with, lie in, be determined by, consist_in, consist in
关心;care;guānxīn;be concerned about
进行;to conduct;jìnxíng;be in progress, go on, carry on/out
服务;service;fúwù;be in the service of, serve
像;like;xiàng;be like xiàng
像;like;xiàng;be like, resemble xiàng
具有;with;jùyǒu;be provided with, have, have got, possess, hold, possession, carry, inhere, bear
有关;about;yǒuguān;be related
缺乏;lack of;quēfá;be short of, lack
值得;worthy of;zhíde;be worth, merit, pay, rate, behove, worthwhile, worth, worthy, deserve, call_for, command
为;for;wéi;be, become
做;do;zuò;be, become, be used as zuò
教师;teachers;jiàoshī;beak, don, school teacher, schoolman, teacher, schoolmaster, preceptor, professor, pedagogue, schoolteacher, coach, master, instructor, educator, preceptorship
美丽;beautiful;měilì;beautiful
艺术;art;yìshù;beaux-arts, aesthetical, artistic production, artistic, ars, art, academy, aesthetic, artistic creation, skill, craft, artistry, esthetic
成;into;chéng;become, turn into chéng
之前;before;zhīqián;before, prior to, ago
官员;officials;guānyuán;beg, official, mandarinate, administrative official, office-bearer, officer, bureaucrat, placeman, federal agent, government officials, agent, officialism, functionary, director, officeholder, officialdom, myrmidon
开始;start;kāishǐ;begin, start
下;down;xià;below, under, underneath xià
之外;outside of;zhīwài;beyond, apart from, excluding
电话;phone;diànhuà;blower, phone call, headphone, earpiece, telephone, telephone_call, buzz, earphone, horn, telephone set, phone_call, telephony, phone
委员会;committee;wěiyuánhuì;board, soviet, commission, committee, court, citizens committee, mission, delegacy, deputation, delegation, council
边;side;biān;border, boundary biān
双方;both sides;shuāngfāng;both, the two parties, two parties, both sides
市场;market;shìchǎng;bourse, bazar, marketplace, grocery store, agora, bazaar, securities industry, grocery, piazza, plaza, rialto, mart, pitch, market
对象;object;duìxiàng;boy/girl friend, mate, fair game, boy friend, prey, boy, object, quarry, target, girl friend, catch, match
生命;life;shēngmìng;breath, god, head, anima, days, organism, blood, life, living thing, skin, longevity, being, vital, life form
发挥;play;fāhuī;bring into play, give free rein to, develop (idea/etc.), elaborate
带来;brings;dàilái;bring, redound, impart, bring_on, bring on, express, fetch, lend, convey, contribute, bring about, bestow, carry, bring oneself, add, usher, incur, land
为;for;wéi;by
被;was;bèi;by bèi
品质;quality;pǐnzhí;calibre, appraisal, caliber, character, self, intrinsic, brew, quality, timber, sort
只好;only good;zhǐhǎo;can only, have no choice but, have to, be forced to
只有;only;zhǐyǒu;can only, have no choice but, to be forced to
能;can;néng;can or to be capable of
能够;able;nénggòu;can, able, would, may
可以;can;kěyǐ;can, may
可;can;kě;can, may kě
不可;not;bùkě;cannot, should not, must not
台北;taipei;táiběi;capital of Nationalist China, capital of Republic of China on Taiwan, Taipei
北京;beijing;běijīng;capital of Red China, Beijing, Peking, Beijing (Peking), Peiping
台北市;taipei city;táiběishì;capital of Republic of China on Taiwan
执行;perform;zhíxíng;carry out, execute
中国;china;zhōngguó;Cathay, China, china
中心;center;zhōngxīn;center, heart, hub
中;in;zhōng;center, middle, interior zhōng
中央;central;zhōngyāng;central authorities (of state/party/etc.)
当然;of course;dāngrán;certainly, of course
大陆;continent;dàlù;Ch. mainland
改变;change;gǎibiàn;change, transform
变;change;biàn;change, transform
变化;change;biànhuà;change, transformation
人物;people;rénwù;character, persona, original, spirit, figure painting, character in literature, figure, person in literature, person, fish, personage, personality
几乎;almost;jīhū;chiefly, anear, about, near, just_about, most, well-nigh, almost, closely, practically, intimately, all but, nearly, just about, virtually, much, nigh
大概;probably;dàgài;chiefly, if not, perchance, approximately, believably, maybe, presumably, plausibly, almost, conceivably, most likely, assumedly, ablings, likely, perhaps, probably, supposedly, ablins, credibly, assumably, belike
小朋友;children;xiǎopéngyǒu;child (adult address to child), little boy, children, little boy/girl, girl, little girl, little boy or girl, child
中共;chinese communist party;zhōnggòng;Chinese Communist Party
中国人;chinese;zhōngguórén;Chinese person, Chinese people, Chinese
电影;movie;diànyǐng;cinematography, moving_picture, pix, kinema, picture, film, movie, moving picture, flick, cinema, motion_picture, cinematic, celluloid, picture show, motion picture, flicker
环境;environment;huánjìng;circumambiency, environmental, circumstances, environment, entourage, surround, atmosphere, setting, surroundings, ambiance, condition, context, circumstance, surrounding, frame, milieu, ambient, consideration, environs, medium, ambience
形式;form;xíngshì;circumstance, form, kind, modality, reading, interpretation, variety, shape, embodiment, species, mode, version, sort
情形;situation;qíngxíng;circumstance, trimness, event, trim, instance, state of affairs, case, circumstances, status, situation, condition
民众;people;mínzhòng;civil, crowd, masses, populace, rank_and_file, the masses, the masses of the people, the populace, demos, mob, multitude, plebs, commons, the common people, the people, million, public
文化;culture;wénhuà;civilization, literacy, acculturation, Kultur, vandalism, cultural, education, schooling, culture
同学;the same;tóngxué;class fellow, fellow student, condisciple, classmate, schoolmate, schoolfellow, form of address used in speaking to a student
清楚;clear;qīngchǔ;clear
明显;obviously;míngxiǎn;clear, obvious
思想;thought;sīxiǎng;cogitation, mentation, imagery, imaging, lunatic_fringe, mental imagery, idea, thinking, imagination, ideology, thought, pensee, ideological
相关;related;xiāngguān;cognate, relational, interrelate, associated, be interrelated, relevant, related, be mutually related
结合;combined with;jiéhé;combine, unite, integrate, link, be joined in wedlock
回来;back;huílái;come back, get_back, recur, revisit, come, return, be back, come_back
出来;come out;chūlái;come forward, issue, come up, step up, step to the fore, out (toward one), come_out, pop out, come out, rise, come to the fore, step forward, emergence, come forth, emerge
来自;from;láizì;come from, originate from, come, stem/originate from, attach_to, stem, come/stem/originate from, hail
产生;generate;chǎnshēng;come into being, produce, engender, emerge
来;to;lái;come, arrive lái
来;to;lái;come, arrive lái
委员;members;wěiyuán;commissar, committee man, committee, committee member, commissioner, committeeman, delegate, board member, commissary
公共;public;gōnggòng;common, commonly, publicly, public, communal
公园;park;gōngyuán;common, green, garden, commons, park
共同;common;gòngtóng;common, joint
沟通;communication;gōutōng;communicate, link up
社区;community;shèqū;community
社会;society;shèhuì;community, society, monde, social, public
比;than;bǐ;compare, contrast, emulate, draw analogy bǐ
比;are more than;bǐ;compared with bǐ
完全;completely;wánquán;completely, fully, wholly, absolutely
部份;part of;bùfèn;composition, segment, section, side, portion, slice, proportion, part, det.: part, share, component, division, phase, place, piece
观念;concept;guānniàn;conception, intension, theory, philosophy, idolum, connotation, idea, sense, presentation, notion, concept, construct, intellection, presentment, thought, notional, conceit
举办;hold;jǔbàn;conduct, hold, run
而;and;ér;conjunction:  and ér
等等;etc.;děngděng;conjunction:  and so on, etc
等;etc.;děng;conjunction:  and so on, etc děng
而;and;ér;conjunction:  and yet
并且;and;bìngqiě;conjunction:  and, besides, moreover
又;again;yòu;conjunction:  and, in addition, but, on the other hand
以及;and;yǐjí;conjunction:  as well as, along with, and
因;because;yīn;conjunction:  because, as yīn
因为;because;yīnwèi;conjunction:  because, for, on account of
此外;in addition;cǐwài;conjunction:  besides, in addition, moreover
不过;but;búguò;conjunction:  but, however, only
但是;but;dànshì;conjunction:  but, however, yet, still
可是;but;kěshì;conjunction:  but, yet, however
但;but;dàn;conjunction:  but, yet, still, nevertheless, only, merely dàn
就是;is;jiùshì;conjunction:  even if, even
然而;however;ránér;conjunction:  even so, but
即使;even if;jíshǐ;conjunction:  even, even if/though
而且;and;érqiě;conjunction:  furthermore, and
故;therefore;gù;conjunction:  hence, so, therefore, as a result
的话;of words;dehuà;conjunction:  if
而是;rather;érshì;conjunction:  if not A, then B
如果;if;rúguǒ;conjunction:  if rúguǒ
若;if;ruò;conjunction:  if, as if
加上;plus;jiāshàng;conjunction:  in addition (to)
另外;in addition;lìngwài;conjunction:  in addition, besides, moreover
以;to;yǐ;conjunction:  in order to, so as to
连;even;lián;conjunction:  including
不论;regardless of;búlùn;conjunction:  no matter how/who/what/etc.
不管;regardless;bùguǎn;conjunction:  no matter, regardless of
不但;not only;búdàn;conjunction:  not only
不仅;not only;bùjǐn;conjunction:  not only
反而;instead;fǎnér;conjunction:  on the contrary, instead
或;or;huò;conjunction:  or, either or huò
或者;or;huòzhě;conjunction:  or, either...or...
或是;or;huòshì;conjunction:  or, perhaps
否则;otherwise;fǒuzé;conjunction:  otherwise, if not, or else
由于;as;yóuyú;conjunction:  owing/due/thanks to
既;both;jì;conjunction:  since...then jì
只要;just;zhǐyào;conjunction:  so long as, provided
所以;so;suǒyǐ;conjunction:  so, therefore, as a result
因此;therefore;yīncǐ;conjunction:  therefore, consequently
于是;so;yūshì;conjunction:  thereupon, hence, consequently, as a result
虽然;although;suīrán;conjunction:  though, although
虽;although;suī;conjunction:  though, although, even if
至;to;zhì;conjunction:  zhì
意识;consciousness;yìshì;consciousness, witting, sensibility, conscious, conscience, ideology, awareness, subconscious, mentality
因素;factor;yīnsù;consideration, ingredient, constituent, factor, strand, component, element
包括;including;bāokuò;consist_of, consist of, subtend, embrace, comprise, incorporate, embody, involve, count, subsume, take_in, comprehend, incorporation, include, comprize, run, cover, package, consist in
结构;structure;jiégòu;constitution, configuration, framing, structural, design, underframe, framework, construction, structure, schematism, economy, fabric, mechanics, composition, machinery, contexture, texture, constellation, fable, ordonnance, skeleton, organization, frame, architecture, chemistry, make
建设;construction;jiànshè;construction
控制;control;kòngzhì;control, dominate, command
合作;cooperation;hézuò;cooperate, collaborate, work together
合作;cooperation;hézuò;cooperate, collaborate, work together
配合;in conjunction with;pèihé;coordinate, cooperate
钱;money;qián;copper coin, cash, money, fund, sum qián
正确;correct;zhèngquè;correct, true, exact, proper, right
对;to;duì;correct, true, toward duì
件;piece;jiàn;correspondence, paper, document, bit, m.[general], , single item, letter, piece jiàn
成本;cost;chéngběn;cost
土地;land;tǔdì;country, acre, terra, soil, premise, realm, territory, dirt, local god of the land, farming, earth, ground, kingdom, holding, agrarian, solid ground, benefice, esplees, tract, village god, glebe, terra firma, land, dry land
地方;place;dìfāng;country, soil, terrain, part, clime, way, territory, room, neighbourhood, tinderbox, locality (as distinct from the central administrat, child, tract, province, position, respect, where, region, space, place, local
课程;course;kèchéng;course of instruction, lesson, course, course of lectures, course of study, curricular, class, curricula, syllabus, curriculum, program
正在;is;zhèngzài;course of, be, be in process
创造;create;chuàngzào;create, produce, bring about
消费者;consumer;xiāofèizhě;customer, buyer, consumer
敢;dare;gǎn;dare, make bold, have courage to, be sure, have confidence to, venture, have the confidence to, be certain gǎn
时候;time;shíhòu;day, moment, (a point in) time, (duration of) time, time
时代;times;shídài;day, period, a period in one's life, epoch, present time, historical period, time, chapter, period in one's life, modern times, historic period, contemporary world, times, era, modern world, age
业者;industry;yèzhě;dealer, interest
决定;decide;juédìng;decide, resolve, make up one's mind, determine
相信;believe;xiāngxìn;deem, believe, credit, esteem, accredit, feel, trow, count, have faith in, guess, lippen, buy, be convinced of, hold, think, trust, accept, know, hone, believe_in, favour, believe in, hope
深;deep;shēn;deepen, penetrating, profound, deep, dark shēn
要;to;yào;demand, request yào
范围;range;fànwéi;demesne, latitude, shot, compass, extensity, panorama, parameter, boundary, arena, stretch, territory, radius, spectrum, scope, extension, sphere, orbit, circumscription, limits, purview, grasp, extent, region, space, limit, hemisphere, horizon, envelope, bounds, realm, terrain, tether, sphere of influence, range, circuit, domain, precinct, reach, area, length, spread, bailiwick, ambit, con
领域;area;lǐngyū;demesne, line of business, field of operation, country, background, terrain, realm, part, arena, sphere of influence, setting, territory, precinct, radius, scope, domain, sphere, frontier, orbit, preserve, area, world, kingdom, ambit, signory, province, region, field, universe, hemisphere
显示;show;xiǎnshì;demonstrate, argue, exhibit, prove, display, show, illustrate, manifest, demonstration, announce, stamp, unroll, witness, write, give, evince, dangle, betray, bespeak, say, profess, develop, indicate, signal, flaunt, read, register, manifestation, speak, reveal, evidence, tell, shew, proclaim, discover, stage, bear, establish, record, prognosticate, betoken, note, signalize
表示;said;biǎoshì;demonstrate, exhibit, prove, show, extend, manifest, express, stamp, signify, mark, witness, look, give, denote, evince, expression, bespeak, say, profess, mean, offer, utter, infer, indicate, represent, read, speak, refer, give tongue to, intend, be, shew, pay, stand_for, establish, stand for, present, render, betoken
前往;go to;qiánwǎng;depart, cruise, go_to, go, leave, go to, proceed to, pay, seek, leave for
能力;ability;nénglì;department, potency, ability, acquisition, acquirement, capacity, performance, oomph, sufficiency, energy, competence, accomplishment, size, might, faculty, hand, coequal, efficiency, inner resources, capability, giftie, attainment, capableness, zip, skill, competency, power
单位;unit;dānwèi;department, unit, denomination, module, building block, unit of measurement, monad, unit (in measurement or organization)
写;write;xiě;description, bewrite, direct, describe, pencil, draw, paint, inscribe, write, depiction, write_out, throw_off, depict, address, author, screeve, word, compose xiě
设计;design;shèjì;design, plan
有的;have;yǒude;det : some
很多;a lot;hěnduō;det.:
一点;a little;yīdiǎn;det.: a little bit
不少;quite a lot;bùshǎo;det.: a lot of
所有;all;suǒyǒu;det.: all
全;all;quán;det.: all, Surname, whole, Quan quán
另;another;lìng;det.: another lìng
大量;large amount;dàliàng;det.: any numer of, a great many
各;each;gè;det.: each, every gè
八;eight;bā;det.: eight
每;every;měi;det.: every měi
一切;everything;yīqiè;det.: everything, every
整;whole;zhěng;det.: exact zhěng
五;five;wǔ;det.: five wǔ
前;before;qián;det.: former, preceding qián
四;iv;sì;det.: four
半;half;bàn;det.: half
几;several;jǐ;det.: how many, a few, several, some jǐ
多少;how much;duōshǎo;det.: how many, how much, many
其;its;qí;det.: its, his, her, their, it, this, that qí
多;more;duō;det.: more than, much more duō
下;under;xià;det.: next, second xià
一;one;yī;det.: one yī
其他;other;qítā;det.: others, the rest, other, else
上;on;shàng;det.: preceding, previous shàng
七;seven;qī;det.: seven qī
同;the same;tóng;det.: simialr, same
六;six;liù;det.: six liù
一些;some;yīxiē;det.: some, a few, a little
某;a certain;mǒu;det.: some, certain
十;ten;shí;det.: ten shí
那;that;nà;det.: that
这些;these;zhèxiē;det.: these
本;this;běn;det.: this běn
该;the;gāi;det.: this, that gāi
那些;those who;nǎxiē;det.: those
三;three;sān;det.: three sān
两;both;liǎng;det.: two, both (sides), either (side), a few, some liǎng
二;ii;èr;det.: two, second
哪;which;nǎ;det.: which nǎ
发展;development;fāzhǎn;develop, expand, grow
开发;development;kāifā;develop, open up, exploit
死;dead;sǐ;die sǐ
不同;different;bùtóng;different
直接;directly;zhíjiē;direct, immediate
讲;speak;jiǎng;discourse, utter, talk, negotiation, make clear, negotiate, parley, pay attention to, speak, syllable, discuss, explain, tell, be particular about, explanation, interpretation, interpret, relate, discussion, stress, mouth, say, remark, verbalize jiǎng
作;as;zuò;do, make, rise, write, compose, pretend, affect, feign zuò
先生;mr.;xiānshēng;doctor of Chinese medicine, Don, mulla, Ms., sir., teacher, gentleman, gospodin, Signor, signor, fortune-teller, babu, baboo, Herr, Mister, bey, mister, bwana, husband, siree, buckra, sirrah, senor, guv, sahib, Mr., rabbi, don, signore, Dan, sir, m'sieur, effendi, Tuan, baas, Monsieur, lording, monsieur, doctor, Mr, milord, Mynheer, signior, esquire, bookkeeper, Senor, rabboni, Senhor, sieur, sen
别;don't;bié;don't bié
喝;drink;hē;drink hē
彼此;each other;bǐcǐ;each other, one another, I/me too
先;first;xiān;earlier, in advance, before
早;early;zǎo;early, long ago, in advance, beforehand, prematurely zǎo
容易;easy;róngyì;easy
经济;economic;jīngjì;economy, financial condition, income
教育;education;jiàoyū;education
教育部;ministry of education;jiàoyūbù;Education, Ministry of Education, Department of Education, Education Department
永远;forever;yǒngyuǎn;e'er, always, for_good, evermore, ever, forever
一直;always;yīzhí;e'er, away, continuously, all the way, right, forever, all_along, always, the whole way, all along, straight, slap, through, ever, evermore
空间;space;kōngjiān;elbow room, allowance, margin, roomage, open air/sky/space, road, leeway, way, open air, sheets, room, tolerance, opening, clear, sky, spacial, interspace, vacuity, spatial, dimension, open sky/space, space, place, vacuum
电子;electronic;diànzǐ;electron
电脑;computer;diànnǎo;electronic computer, computery, data processor, information processing system, computer
引起;cause;yǐnqǐ;elicit, beget, causation, give rise to, incite, pique, engender, bring_on, trigger, fire, compel, kick_up, superindividual, draw, spawn, invite, touch_off, occasion, lead, bring_about, procure, touch off, raise, enkindle, give, poke, produce, capture, generate, stir, arouse, excite, put forward, provoke, breed, bring, conjure up, grip, create, kindle, tempt, set_up, interest, give rise, enga
员工;employees;yuángōng;employee, personnel, reason, force, staff, cause
鼓励;encourage;gǔlì;encourage, urge
结束;end;jiéshù;end, close, conclude
从事;engage in;cóngshì;engross, have, join, treat, plow, handle, follow, embark, undertake, attend_to, attack, occupy, absorb, go_into, work, engage, prosecute, go_about, go in for, pursue, be, meddle, embark_on, perform, enter, cover, deal, address, be engaged in, deal with, place, wage
尤其;especially;yóuqí;especially
建立;build;jiànlì;establish, set up, found
产业;industry;chǎnyè;estate, manufacture, industry, domain, manufacturing, property
欧洲;europe;ōuzhōu;Europe
甚至;even;shènzhì;even (to the point of), so much so that
情况;situation;qíngkuàng;event, things, state of affairs, circumstantiality, case, circumstances, way, plight, experimental condition, streak, military situation, matter, condition, mood, circumstance, context, occasion, thing, instance, affair, shape, situation, juncture, consideration
经常;often;jīngcháng;everyday, daily, alway, often, a great deal, frequently, sempre, much, regularly, constantly, evermore, day-to-day
刚;just;gāng;exactly, only a short while ago, just now, barely, only just, just gāng
除;in addition to;chú;except
除了;except;chúle;except, besides
特殊;special;tèshū;"exceptional, special, particular; peculiar, distinctive"
太;too;tài;excessively, too, extremely, very
成绩;achievements;chéngjī;execution, carrying into action, achievement, result, showing, carrying out, performance, grade, success, doing, batting average
存在;existence;cúnzài;exist, be
在;in;zài;exist, live, be at/in/on, depend on, rest with zài
经验;experience;jīngyàn;experience
受到;by;shòudào;experience, receive, come in for, suffer, undergo, come_in_for, be given, come_to, be subjected to
说明;description;shuōmíng;explain, illustrate, show
表达;expression;biǎodá;express, convey, voice
达到;reach;dádào;extend to, find, fulfil, compass, encompass, extend, gain, answer, achievement, succeed, fulfill, live_up_to, attainment, strain, bring_up, achieve, get to, touch, strive, make, accomplish, progress to, come, hit, come_out, obtain, reach, attain, clock_up, suffice, do, get, arrive_at
非常;very;fēicháng;extraordinary, unusual, special, very, extremely, highly
极;extremely;jí;extraordinary, unusual, special, very, extremely, highly jí
面对;face;miànduì;face up, stand up, face, look_out_on, confront, front, affront, envisage, accost, breast
行为;behavior;xíngwéi;fact, demeanor, form, deportment, dealing, behavior, doings, course, act, point, goings-on, demeanour, procedure, lapse, going, bearing, turn, behaviour, activity, ongoing, thing, human action, conduct, commitment, human activity, behavioral, agency, deed, comportment, action
事件;events;shìjiàn;fact, event, page, incidental, go, case, job, natural event, timing, proceedings, social occasion, happening, occurrence, matter, occasion, incident, shebang, affair, chapter, concernment
厂商;manufacturers;chǎngshāng;factory owner, factories and stores, firm, maker, business organization, business concern, manufacturing business, concern, manufacturer, business
属于;belong to;shǔyū;fall under, be part of, pertain, appertain, belong, relegate, fall into, belong_to, fall_under, reside, belong to, attach
家;home;jiā;family, household, home, house jiā
远;far;yuǎn;far, distant (lit./fig.) yuǎn
座;seat;zuò;fare, stand, base, constellation, footstall, pedestal, m.[general], , customer, Aquarius, seating, plinth, place, seat zuò
快;fast;kuài;fast, quick, quick-witted, ingenious, sharp (of knives), straightforward kuài
吃;eat;chī;feed, have, be subject to, absorb, chow, live on, eat, have one's meals, be a strain, exhaust, fare, take in, live off, annihilate, wipe out, partake, suffer, ingest, consume, graze, lunch, manducate, incur, take, get, use up, make, taste, soak up chī
提供;provide;tígōng;feed, offer, put_up, afford, proffer, set_up, capitalize, bring_forward, sponsor, extend, ply, provision, sustain, equip, supply, cough_up, bear, render, furnish, cater, billet, provide
感到;feel;gǎndào;feel, sense
妇女;women;fùnǔ;feme, womankind, female, femininity, cummer, woman, femme, quean, bevy, matron, toots, womanhood, feminine, womenfolk, women
力量;power;lìliàng;fibre, strength, potency, ability, guts, kick, cogency, point, dint, energy, mightiness, physical strength, demon, force, punch, whiz, tooth, might, forcefulness, exercise, fiber, powerfulness, lift, pith, leverage, agency, push, muscle, power
完成;finish;wánchéng;fill in, finish out, fulfil, practice, complete, finish, encompass, clear_up, top_off, cleave, top off, accomplishment, make out, effect, perfective, fulfill, go through, exercise, discharge, fill out, completion, end, run, bring ... to fruition, round_out, achieve, execute, round out, make, cap off, accomplish, practise, follow through, come, finalize, fulfilment, dispatch, bring ...
结果;results;jiéguǒ;finally
经费;funding;jīngfèi;finances, monetary resource, expenses, expense, expenditure, pecuniary resource, fund, outlay, funds, outgo, cash in hand
获得;get;huòdé;find, cop, acquirement, come_into, gain, draw, pick_up, pull, achievement, score, procure, come_by, get hold, purchase, nab, come upon, derive, latch, incur, achieve, make, bring, receive, arrive, come_out, pocket, obtain, luck into, sack, win, enter upon, pick up, garner, harvest, attain, come up, line up, extract, secure, possess, earn, reap, accrue, cover, take, acquire, get, arrive_at
发现;found;fāxiàn;find, discover
成为;become;chéngwéi;find, join, comprise, turn to, commemorate, sample, entomb, come_up, commence, get hold, learn, add up, necessitate, run, make up, constitute, make, form, come, amount, represent, fall, presage, change, be, turn, turn into, become, line up, come up, shape, portend, foretell, get
认为;think;rènwéi;find, treat, deem, suppose, look_on, repute, discount, esteem, accredit, feel, account, calculate, estimate, take to be, reckon, expect, think, hold, trust, recognise, opine, sound off, adjudge, consideration, consider, regard as, look upon, believe_in, disbelieve, allow, conceive, regard, call, imagine, view, forecast, believe, suspect, rate, animadvert, look on, listen, speak up, figure, c
资料;information;zīliào;food, source, info, means, data, information, material, datum, data point, matter
例如;for example;lìrú;for instance/example, e.g., such as
久;long;jiǔ;for long time, of specified duration jiǔ
给;for;gěi;for, for the benefit of, by (in passive cons.) gěi
避免;avoid;bìmiǎn;forbear, preclude, refrain_from, forebear, escape, help, elude, leapfrog, refrain from, stave_off, evite, shun, obviate, avoid, evade, waive, help oneself, ward_off, ward, miss, avert, ward off, balk, refrain
压力;pressure;yālì;force per unit area, P, strain, overwhelming force, pressure sensation, burdensomeness, oppressiveness, pressure, onerousness, stress, compulsion, constraint, muscle, lading
正式;official;zhèngshì;formal (of actions/speeches/etc.)
程式;program;chéngshì;formula, instruction, computer programme, pattern, form, modality, subprogram, routine, programme, course, function, subroutine, procedure, mode, order, sequence, computer program, program
成立;established;chénglì;found, establish, be tenable, hold water
团体;group;tuántǐ;fraternity, sect, phalanx, collective, body, group, sodality, element, organisation, corporation, confession, college, establishment, brotherhood, community, organization, squad, union, administration, society, army, commonwealth, consort, company, lineup, combine, governance, clan, combination, fellowship, organizational, bloc, team, party, connection, family, brass, squadron
自由;free;zìyóu;free, unrestrained
自;since;zì;from, since zì
从;from;cóng;from, since, through cóng
由;by;yóu;from, via, by, through, owing/due to
前;before;qián;front qián
功能;function;gōngnéng;functional, niche, function, competence, capacity, anatomy
基本;basic;jīběn;fundamental, essential, main
取得;acquire;qǔdé;gain, acquire, obtain
一般;general;yībān;general, ordinary, common
打;hit;dǎ;generalized verb of doing with specific meaning determined by its object, strike, hit, fight, construct, forge, mix dǎ
得;got;dé;get dé
女;female;nǔ;girl, female, woman, neodymium, hen, daughter, beaver, creature
为主;for the main;wéizhǔ;give first place to
给;give;gěi;give, give to gěi
高兴;happy;gāoxìng;glad, happy, cheerful, merry, pleased
全球;global;quánqiú;global, whole world
进一步;further;jìnyībù;go step further
往;to;wǎng;go toward wǎng
上;up;shàng;go up, mount, board, get on, go to, go to, leave for, present, forge/go ahead, enter, place sth. in position shàng
去;go;qù;go, go to qù
继续;continue;jìxù;go, resume, keep_on, abide, come on, persist in, extend, run_on, run on, carry_on, stretch, sustain, pursue, keep going, continuance, get_along, get_on, remain, continue, keep_up, go ahead, keep up, come up, continuation, hold, carry, run, go_on, maintain, go on, bide, plow ahead, hold_on, piece, restart
进入;enter;jìnrù;go_into, get_in, debouch, get in, go into, move into, come_into, pass, step_in, lapse, get_into, set in, go in, get into, kick in, penetrate, intromission, pierce, come_in, come in, enter, entry, sink, impenetrate
精神;spiritual;jīngshén;god, guts, heart, pneuma, consciousness, vigor, life, energy, vim, courage, esprit, moral, get-up-and-go, ginger, vitality, Psyche, psyche, spunk, gumption, juice, sand, mind, mental, mens, mickey, mettle, nature, grit, oomph, genius, vigour, substance, psychic, backbone, nous, nerve, pazazz, essence, pep, spirit, inward, drive, push, soul, gist
原则;principle;yuánzé;god, rule, formula, regulation, principle, fundamental, axiom, basis, linguistic rule, faith, principium
好;good;hǎo;good hǎo
研究所;institute;yánjiùsuǒ;graduate_school, research institute, school, laboratory, graduate school, institute
